City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
136,Trelaze,FR,2021-03-26 04:37:49,47.45,-0.4667,41.0,87,75,7.18
137,Georgetown,MY,2021-03-26 04:37:49,5.4112,100.3354,86.0,74,40,3.44
138,Sawakin,SD,2021-03-26 04:33:02,19.1059,37.3321,74.17,64,40,13.31
139,Baleshwar,IN,2021-03-26 04:37:49,21.4942,86.9317,97.7,17,48,5.46
140,Bethel,US,2021-03-26 04:37:50,41.3712,-73.414,59.0,88,90,5.75
141,Bathsheba,BB,2021-03-26 04:37:50,13.2167,-59.5167,77.0,65,40,18.41
142,Grindavik,IS,2021-03-26 04:37:50,63.8424,-22.4338,24.8,80,75,25.32
143,Korla,CN,2021-03-26 04:37:51,41.7597,86.1469,61.57,24,84,14.16
144,Clyde River,CA,2021-03-26 04:37:51,70.4692,-68.5914,-16.6,69,1,5.75
145,Bataipora,BR,2021-03-26 04:37:51,-22.2953,-53.2711,74.03,60,4,3.06
146,Barrow,US,2021-03-26 04:37:52,71.2906,-156.7887,-5.8,65,1,6.91
147,Marienburg,PL,2021-03-26 04:37:52,54.0359,19.0266,37.99,93,75,2.3
148,Coquimbo,CL,2021-03-26 04:37:52,-29.9533,-71.3436,55.4,82,0,4.61
149,Lamlash,GB,2021-03-26 04:37:52,55.5336,-5.1296,46.4,87,90,19.57
150,Izhevskoye,RU,2021-03-26 04:37:53,54.5567,40.8703,33.26,96,100,4.03
151,Warmbad,NA,2021-03-26 04:37:53,-28.45,18.7333,70.34,43,0,6.64
152,Isangel,VU,2021-03-26 04:37:53,-19.55,169.2667,84.2,58,40,4.61
153,Arraial Do Cabo,BR,2021-03-26 04:37:54,-22.9661,-42.0278,75.38,84,2,3.83
154,Port Pirie,AU,2021-03-26 04:37:54,-33.1833,138.0167,71.6,60,90,14.97
155,Leningradskiy,RU,2021-03-26 04:37:54,69.3833,178.4167,-15.18,96,73,1.28
156,Makakilo City,US,2021-03-26 04:37:55,21.3469,-158.0858,78.8,69,20,9.22
157,Halifax,CA,2021-03-26 04:33:54,44.6453,-63.5724,37.99,100,91,1.14
158,Cherskiy,RU,2021-03-26 04:37:55,68.75,161.3,-7.42,92,95,3.6
159,Kabarnet,KE,2021-03-26 04:37:56,0.4919,35.743,61.54,48,32,3.44
160,Kualakapuas,ID,2021-03-26 04:37:56,-3.0091,114.3876,82.4,78,40,4.61
161,Tessalit,ML,2021-03-26 04:37:56,20.1986,1.0114,64.65,10,0,10.22
162,Doong,PH,2021-03-26 04:37:57,11.0786,123.6395,82.83,72,83,9.44
163,Tambopata,PE,2021-03-26 04:37:57,-12.7333,-69.1833,70.79,98,88,0.4
164,Katsuura,JP,2021-03-26 04:37:57,35.1333,140.3,70.0,39,20,11.5
165,Bilibino,RU,2021-03-26 04:37:57,68.0546,166.4372,-3.59,88,51,1.07
166,Egvekinot,RU,2021-03-26 04:37:58,66.3167,-179.1667,-6.3,89,71,7.49
167,Saint-Philippe,RE,2021-03-26 04:37:58,-21.3585,55.7679,81.0,69,0,4.61
168,Tilichiki,RU,2021-03-26 04:37:58,60.4667,166.1,10.72,81,100,17.67
169,Alofi,NU,2021-03-26 04:37:59,-19.0595,-169.9187,84.2,79,15,11.5
170,Yellowknife,CA,2021-03-26 04:37:59,62.456,-114.3525,-4.0,77,20,3.44
171,Awjilah,LY,2021-03-26 04:37:59,29.1081,21.2869,49.06,68,3,7.54
172,Marsabit,KE,2021-03-26 04:38:00,2.3284,37.9899,67.05,65,20,14.43
173,Palmer,US,2021-03-26 04:37:31,42.1584,-72.3287,59.0,88,90,10.36
174,Tarquinia,IT,2021-03-26 04:38:00,42.2482,11.7553,42.01,92,0,6.02
175,Tonantins,BR,2021-03-26 04:38:00,-2.8731,-67.8022,72.48,98,75,2.15
176,Nanortalik,GL,2021-03-26 04:38:01,60.1432,-45.2371,11.41,56,77,13.49
177,Sur,OM,2021-03-26 04:38:01,22.5667,59.5289,81.72,43,10,3.83
178,Beyneu,KZ,2021-03-26 04:38:01,45.3167,55.2,42.12,67,100,17.74
179,Tres Lagoas,BR,2021-03-26 04:38:02,-20.7511,-51.6783,74.8,56,8,1.74
180,Brainerd,US,2021-03-26 04:38:02,46.358,-94.2008,28.4,69,1,5.75
181,Genhe,CN,2021-03-26 04:38:02,50.7833,121.5167,35.49,82,100,13.0
182,Port Elizabeth,ZA,2021-03-26 04:38:03,-33.918,25.5701,64.4,94,0,9.22
183,Yucca Valley,US,2021-03-26 04:36:21,34.1142,-116.4322,43.0,76,18,8.01
184,Haines Junction,CA,2021-03-26 04:38:03,60.7522,-137.5108,21.2,63,96,1.14
185,Faanui,PF,2021-03-26 04:38:03,-16.4833,-151.75,83.14,73,27,21.39
186,Sangar,RU,2021-03-26 04:33:13,63.9242,127.4739,6.19,85,100,16.78
187,Caravelas,BR,2021-03-26 04:38:04,-17.7125,-39.2481,73.6,85,0,3.11
188,Samarai,PG,2021-03-26 04:38:04,-10.6167,150.6667,85.24,71,27,14.63
189,Jumla,NP,2021-03-26 04:38:04,29.2747,82.1838,65.55,9,0,5.06
190,Esil,KZ,2021-03-26 04:38:05,51.9556,66.4042,22.91,86,91,9.84
191,Korba,IN,2021-03-26 04:38:05,22.35,82.6833,96.76,9,3,3.15
192,Te Anau,NZ,2021-03-26 04:38:05,-45.4167,167.7167,61.88,68,99,7.16
193,Sarakhs,IR,2021-03-26 04:38:06,36.5449,61.1577,64.4,59,0,4.61
194,Rio Gallegos,AR,2021-03-26 04:38:06,-51.6226,-69.2181,48.2,49,0,20.71
195,Vung Tau,VN,2021-03-26 04:38:06,10.346,107.0843,84.38,68,99,18.92
196,Wloclawek,PL,2021-03-26 04:38:07,52.6482,19.0678,43.99,81,97,5.7
197,Yangambi,CD,2021-03-26 04:38:07,0.8102,24.4336,69.22,99,100,4.38
198,Santa Ana,US,2021-03-26 04:38:07,33.7456,-117.8678,55.4,62,40,8.05
199,Henties Bay,NA,2021-03-26 04:38:08,-22.116,14.2845,63.0,94,76,4.99
200,Port Hardy,CA,2021-03-26 04:38:08,50.6996,-127.4199,44.6,81,40,5.75
201,Vostok,RU,2021-03-26 04:38:08,46.4856,135.8833,37.11,67,11,4.99
202,Sorland,NO,2021-03-26 04:38:09,67.667,12.6934,40.41,84,82,28.12
203,Panaba,MX,2021-03-26 04:38:09,21.2833,-88.2667,74.71,84,0,11.23
204,Morales,CO,2021-03-26 04:38:09,2.757,-76.6172,60.12,97,100,0.98
205,Khatanga,RU,2021-03-26 04:38:10,71.9667,102.5,6.49,86,68,2.62
206,Airai,TL,2021-03-26 04:38:10,-8.9266,125.4092,72.82,71,92,2.55
207,Provideniya,RU,2021-03-26 04:38:10,64.3833,-173.3,5.0,72,75,13.42
208,Fairbanks,US,2021-03-26 04:34:11,64.8378,-147.7164,28.4,80,75,10.36
209,Beira,MZ,2021-03-26 04:33:21,-19.8436,34.8389,69.8,94,20,5.75
210,Batsfjord,NO,2021-03-26 04:38:11,70.6345,29.7185,21.2,73,20,12.66
211,Inhambane,MZ,2021-03-26 04:38:11,-23.865,35.3833,73.4,94,40,3.09
212,Kainantu,PG,2021-03-26 04:38:12,-6.2887,145.8655,69.91,81,100,3.62
213,Talnakh,RU,2021-03-26 04:38:12,69.4865,88.3972,17.82,92,100,12.06
214,Awassa,ET,2021-03-26 04:38:12,7.05,38.4667,66.94,24,48,3.94
215,Iida,JP,2021-03-26 04:38:13,35.5197,137.8207,61.0,35,44,8.01
216,Vila Do Maio,CV,2021-03-26 04:38:13,15.1333,-23.2167,68.0,77,20,17.27
217,Hithadhoo,MV,2021-03-26 04:38:13,-0.6,73.0833,83.5,69,91,5.84
218,Ust-Maya,RU,2021-03-26 04:38:13,60.4167,134.5333,14.2,77,100,5.19
219,Komsomolskiy,UZ,2021-03-26 04:38:14,40.4272,71.7189,57.2,67,75,23.02
220,Pringsewu,ID,2021-03-26 04:38:14,-5.3582,104.9744,88.5,57,99,2.53
221,Dombarovskiy,RU,2021-03-26 04:38:15,50.7587,59.5386,26.08,89,100,12.71
222,Ossipee,US,2021-03-26 04:38:15,43.6854,-71.1167,46.99,100,90,4.61
